f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
5.810000000000000000e+02	1.400110419305254254e+03	5.993872718698210061e-02	5.957046963541573348e+01
5.820000000000000000e+02	1.397332096846765126e+03	5.982604351895233485e-02	5.934214643726199512e+01
5.840000000000000000e+02	1.391805841228891722e+03	5.960194210614990634e-02	5.888936007577981968e+01
5.860000000000000000e+02	1.386319726739412317e+03	5.937951284685506065e-02	5.844166239793635498e+01
5.880000000000000000e+02	1.380873305755078718e+03	5.915873709380652101e-02	5.799896875746431846e+01
5.890000000000000000e+02	1.378164842262619459e+03	5.904896353053375180e-02	5.777948076231002972e+01
5.910000000000000000e+02	1.372777136707295995e+03	5.883063367616140488e-02	5.734416462729581809e+01
5.930000000000000000e+02	1.367428034329326465e+03	5.861391190733266504e-02	5.691368296647001301e+01
5.950000000000000000e+02	1.362117110167548162e+03	5.839878052158422456e-02	5.648795601737354843e+01
5.960000000000000000e+02	1.359475833824263873e+03	5.829180576125058549e-02	5.627685594396841395e+01
5.980000000000000000e+02	1.354221393754301062e+03	5.807902732296894160e-02	5.585813574235139356e+01
6.000000000000000000e+02	1.349004096439170780e+03	5.786779613387969812e-02	5.544400493961135368e+01
6.020000000000000000e+02	1.343823538170876873e+03	5.765809537717546396e-02	5.503438842632452577e+01
6.030000000000000000e+02	1.341246911616733314e+03	5.755381372223127012e-02	5.483125788835673831e+01
6.050000000000000000e+02	1.336120717683022349e+03	5.734637761260599764e-02	5.442830042477598340e+01
6.070000000000000000e+02	1.331030278787193765e+03	5.714043094615117030e-02	5.402970899313072550e+01
6.090000000000000000e+02	1.325975211157540116e+03	5.693595773708579055e-02	5.363541582862174550e+01
6.110000000000000000e+02	1.320955136495718307e+03	5.673294222752366112e-02	5.324535104931992890e+01
6.120000000000000000e+02	1.318458104778040706e+03	5.663197624704745248e-02	5.305189744819828235e+01
6.140000000000000000e+02	1.313489821972586014e+03	5.643111822938113448e-02	5.266808268882844857e+01
6.160000000000000000e+02	1.308555609673165691e+03	5.623167948739751093e-02	5.228835237971473049e+01
