f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
3.800000000000000000e+01	6.369985987000695604e+04	2.564187539381887593e+00	1.154990147593969305e+05
3.900000000000000000e+01	6.947808185401419178e+04	2.779755003697916838e+00	1.365661048317996610e+05
4.000000000000000000e+01	7.641153671099808707e+04	3.033385416768212828e+00	1.638981156444916269e+05
4.100000000000000000e+01	8.489465627802581002e+04	3.334614480699471972e+00	2.001763204057385447e+05
4.200000000000000000e+01	9.548121279778872849e+04	3.698874467405302902e+00	2.497316701168254076e+05
4.300000000000000000e+01	1.090845905188987526e+05	4.142158128506189918e+00	3.195036649497470353e+05
4.400000000000000000e+01	1.272645782478775800e+05	4.684945043507974027e+00	4.215970686835786328e+05
4.500000000000000000e+01	1.527434499492754112e+05	5.374676861139534800e+00	5.804972801167434081e+05
4.600000000000000000e+01	1.909879628851278976e+05	6.225684150497285962e+00	8.407719422502759844e+05
4.700000000000000000e+01	2.542086787073778978e+05	7.276970588613568935e+00	1.308055156545098405e+06
4.800000000000000000e+01	3.782180544622839661e+05	8.470359612536373817e+00	2.265317288542356808e+06
4.900000000000000000e+01	7.493342693639227655e+05	9.540985418308624233e+00	5.055380328389453702e+06
5.100000000000000000e+01	7.457080385354810860e+05	9.533492108848095725e+00	5.026966272930620238e+06
5.200000000000000000e+01	3.777209064395323512e+05	8.461588190206215998e+00	2.259998327946065459e+06
5.300000000000000000e+01	2.539003041285930667e+05	7.279553354744948024e+00	1.306932925975541584e+06
5.400000000000000000e+01	1.907799192934208550e+05	6.220701363246222471e+00	8.391844502673893003e+05
5.500000000000000000e+01	1.526042457445963810e+05	5.370643245777230845e+00	5.795335092478815932e+05
5.600000000000000000e+01	1.271891789146043302e+05	4.687637641256069188e+00	4.215898124281314667e+05
5.700000000000000000e+01	1.090405544328035467e+05	4.138744538618741586e+00	3.191117519930542330e+05
5.800000000000000000e+01	9.542073319087877462e+04	3.696581342613787680e+00	2.494190007482848014e+05
5.900000000000000000e+01	8.484709086022833071e+04	3.333875803079458855e+00	2.000199241171996109e+05
6.000000000000000000e+01	7.638965921589343634e+04	3.032124789589085712e+00	1.637831144782027986e+05
6.100000000000000000e+01	6.945533837224787567e+04	2.779186226495098389e+00	1.364933368505711260e+05
6.200000000000000000e+01	6.367643053998025425e+04	2.563354307477844429e+00	1.154187120605460368e+05
6.300000000000000000e+01	5.878008416252845927e+04	2.378131028680072756e+00	9.884525509926045197e+04
6.400000000000000000e+01	5.458641047050408815e+04	2.216490214280937732e+00	8.555420639675892016e+04
