f	pp	pn	np	nn
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (7.649336724444876553e-04-5.584026397516544601e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.649347031931823856e-04-5.584030089149096335e-03j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (7.067433393063220996e-04-5.371260192488369958e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.067442553558022939e-04-5.371263613216747598e-03j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (6.888080114511094384e-04-5.303832580512009634e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.888088930470153077e-04-5.303835917413049841e-03j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (6.549160639759232620e-04-5.173847959690544562e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.549168816493461560e-04-5.173851137759238189e-03j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (6.085611969811781981e-04-4.990213123319731450e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.085619298113957142e-04-4.990216083254143606e-03j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (5.803271115036182440e-04-4.874759220355146666e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.803277941672658601e-04-4.874762046919001168e-03j)
 (4.250000000000000000e+01+0.000000000000000000e+00j)	 (5.669379388470576018e-04-4.818984053516288737e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.669385981300907162e-04-4.818986816697240147e-03j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (5.294262039571664188e-04-4.658962443314285454e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.294267991745001730e-04-4.658965028463147792e-03j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (4.955038580226431722e-04-4.509097240331083264e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.955043971841606876e-04-4.509099663894455823e-03j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (4.849156219209596521e-04-4.461235950344066489e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.849161439608746377e-04-4.461238323360134858e-03j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (4.647287906525798384e-04-4.368463055865700467e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.647292805544714616e-04-4.368465332358378861e-03j)
 (4.850000000000000000e+01+0.000000000000000000e+00j)	 (4.367246883773515825e-04-4.236242199079540485e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.367251348255008652e-04-4.236244341345495393e-03j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (3.877871032072996459e-04-3.994220497999578789e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.877874769802147170e-04-3.994222404794665199e-03j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (3.663382610106096253e-04-3.883199215487620308e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.663386042951687158e-04-3.883201018712795390e-03j)
 (5.350000000000000000e+01+0.000000000000000000e+00j)	 (3.595817815714125003e-04-3.847538817111793331e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.595821154309623152e-04-3.847540587666737309e-03j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (3.403941285317950644e-04-3.744349487374074373e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.403944360996377866e-04-3.744351165026492401e-03j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (3.226984763143228964e-04-3.646507178666371848e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.226987602756408976e-04-3.646508770484861370e-03j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)	 (3.171049268496562877e-04-3.615010670713940215e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.171052034766159078e-04-3.615012235368314161e-03j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (3.011679150381922697e-04-3.523679437547122713e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.011681711268179439e-04-3.523680924725010495e-03j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)	 (2.864001786357816453e-04-3.436817304990564051e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.864004161649084381e-04-3.436818720264758764e-03j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (2.817177927330472421e-04-3.408800563926063856e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.817180244740204414e-04-3.408801956381123099e-03j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)	 (2.683380801112256143e-04-3.327407798282077701e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.683382955747131609e-04-3.327409125470778654e-03j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (2.558874992043988451e-04-3.249787180057341941e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.558876998775549971e-04-3.249788446436478913e-03j)
