f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
4.550000000000000000e+01	4.605615933400861763e+02	2.094458907260437781e-03	6.909530721573264866e-01
4.600000000000000000e+01	4.629663940033725567e+02	2.083668838197218123e-03	6.915366337310488998e-01
4.650000000000000000e+01	4.653712294630189490e+02	2.073079522225819687e-03	6.921743890505845931e-01
4.750000000000000000e+01	4.701810027129436662e+02	2.052672736427178530e-03	6.939040976846662101e-01
4.800000000000000000e+01	4.725859394987118094e+02	2.042837569925653150e-03	6.948545167174213777e-01
4.900000000000000000e+01	4.773959109603367210e+02	2.023838754777421145e-03	6.971468772213699205e-01
4.950000000000000000e+01	4.798009446917387208e+02	2.014747170885588558e-03	6.982887856474251365e-01
5.050000000000000000e+01	4.846111058678505401e+02	1.997188457798180442e-03	7.010344717663506975e-01
5.150000000000000000e+01	4.894213890497853185e+02	1.980527859483483238e-03	7.040630430605803181e-01
5.200000000000000000e+01	4.918265753211675246e+02	1.972502988518428681e-03	7.057217153840846802e-01
5.250000000000000000e+01	4.942317908246719185e+02	1.964731480866276428e-03	7.074321788303831182e-01
5.300000000000000000e+01	4.966370351548492295e+02	1.957166227707683205e-03	7.091755535367461061e-01
5.400000000000000000e+01	5.014476087098426547e+02	1.942621315129368625e-03	7.129985378141531216e-01
5.500000000000000000e+01	5.062582928941710065e+02	1.928910695163624624e-03	7.171777307336890672e-01
5.550000000000000000e+01	5.086636755385218294e+02	1.922353397542170316e-03	7.193229048894854705e-01
5.650000000000000000e+01	5.134745201252565039e+02	1.909822170562379146e-03	7.239219884726593168e-01
5.750000000000000000e+01	5.182854681147541669e+02	1.897976224834701858e-03	7.288121223749834954e-01
5.800000000000000000e+01	5.206909800372245627e+02	1.892348547045564957e-03	7.313839834854917177e-01
5.850000000000000000e+01	5.230965168033842474e+02	1.886910992717018721e-03	7.339997540549874078e-01
5.950000000000000000e+01	5.279076635887130351e+02	1.876535767997728268e-03	7.393897480327850102e-01
6.050000000000000000e+01	5.327189059623066214e+02	1.866824324241687753e-03	7.451638860245491935e-01
6.150000000000000000e+01	5.375302415072862914e+02	1.857719924105000068e-03	7.512020290829604097e-01
6.250000000000000000e+01	5.423416678939834128e+02	1.849327895257004166e-03	7.574683774620321053e-01
6.300000000000000000e+01	5.447474144479333518e+02	1.845312037137491210e-03	7.607436085842982365e-01
6.350000000000000000e+01	5.471531828758679694e+02	1.841477847717994977e-03	7.640563526039496622e-01
6.450000000000000000e+01	5.519647842860761102e+02	1.834208267786797226e-03	7.707788346854848038e-01
6.550000000000000000e+01	5.567764700342404467e+02	1.827532379952556164e-03	7.779399642678369586e-01
6.650000000000000000e+01	5.615882381018765273e+02	1.821383080315173986e-03	7.851688375819790844e-01
6.750000000000000000e+01	5.664000865417389150e+02	1.815778312294041418e-03	7.927286322541311492e-01
6.800000000000000000e+01	5.688060403099767655e+02	1.813164379902204668e-03	7.965915507707123089e-01
6.900000000000000000e+01	5.736180058014506358e+02	1.808316231544713874e-03	8.045301652799746739e-01
7.000000000000000000e+01	5.784300470803042344e+02	1.803919291245699615e-03	8.126857590407724485e-01
7.100000000000000000e+01	5.832421624221914271e+02	1.800004246217192048e-03	8.210601523749039288e-01
7.200000000000000000e+01	5.880543501590850610e+02	1.796523063466309638e-03	8.296123546731855036e-01
7.250000000000000000e+01	5.904604706690787452e+02	1.794946877205693672e-03	8.340393089481678013e-01
7.350000000000000000e+01	5.952727639909531945e+02	1.792119000747504493e-03	8.429146737202511952e-01
7.450000000000000000e+01	6.000851257740642950e+02	1.789659740576315418e-03	8.520046110678267670e-01
7.600000000000000000e+01	6.073037935834355494e+02	1.786746204399493288e-03	8.661076808096913604e-01
7.650000000000000000e+01	6.097100488398539255e+02	1.785925058416811808e-03	8.709464121034973250e-01
