f	min_s_G1	min_s_G2	min_s_G1G2
2.700000000000000000e+01	2.496183939648547456e-01	5.475458514644107816e-04	3.219076304048027669e+04
2.800000000000000000e+01	2.395932865826584379e-01	6.268717904390078491e-04	3.515627875553687772e+04
2.900000000000000000e+01	2.295769481978563453e-01	7.047974883275317940e-04	3.854942562780396111e+04
3.000000000000000000e+01	2.195726999293261539e-01	7.812452333488054124e-04	4.245609457211957488e+04
3.100000000000000000e+01	2.095845013506699439e-01	8.562239986190733161e-04	4.698474606311832031e+04
3.200000000000000000e+01	1.996171292739314929e-01	8.955244520433531348e-04	5.227387747645121271e+04
3.300000000000000000e+01	1.896764187975713833e-01	8.896831086376639141e-04	5.850251935400476214e+04
3.400000000000000000e+01	1.797695911733164509e-01	8.864283405627479016e-04	6.590522573144549096e+04
3.500000000000000000e+01	1.699057039795628665e-01	8.856471480860698140e-04	7.479386426735681016e+04
3.600000000000000000e+01	1.600962757494687749e-01	8.871030151629902012e-04	8.559010220689544803e+04
3.700000000000000000e+01	1.503561633275665443e-01	8.909995579686524675e-04	9.887526111043659330e+04
3.800000000000000000e+01	1.407048125566889574e-01	8.973211268598793415e-04	1.154680764026680990e+05
3.900000000000000000e+01	1.311680742351861995e-01	9.050330664236738189e-04	1.365493910723667359e+05
4.000000000000000000e+01	1.217809030454123781e-01	9.121330614356693532e-04	1.638701901784482761e+05
4.100000000000000000e+01	1.125914904777229608e-01	9.154854757471563584e-04	2.001119470532422711e+05
4.200000000000000000e+01	1.036678404294324174e-01	9.107712999356646277e-04	2.495383510611145175e+05
4.300000000000000000e+01	9.510874635921420794e-02	8.933522240548032829e-04	3.192354145173683646e+05
4.400000000000000000e+01	8.706320150821349191e-02	8.605054854902593380e-04	4.216138598318930599e+05
4.500000000000000000e+01	7.976689192033049880e-02	8.139945930642940308e-04	5.798170869047835004e+05
4.600000000000000000e+01	7.361404672492538603e-02	7.599553723634903946e-04	8.404380839950020891e+05
4.700000000000000000e+01	6.929467469968059179e-02	7.051539151921242627e-04	1.307486163499420974e+06
4.800000000000000000e+01	6.794535093537230896e-02	6.539084224335493236e-04	2.263101421710701194e+06
4.900000000000000000e+01	6.942773613129699095e-02	6.078285380987311906e-04	5.041591505032335408e+06
5.000000000000000000e+01	8.352069193268760183e-02	5.668603951472804331e-04	2.527133237039328739e+07
5.100000000000000000e+01	6.942928911606660591e-02	5.302556510568208524e-04	5.041583308269922622e+06
5.200000000000000000e+01	6.794610937361156289e-02	4.971311410128481482e-04	2.263101062598071992e+06
5.300000000000000000e+01	6.929410407330219290e-02	4.667260620019438792e-04	1.307486236013561022e+06
5.400000000000000000e+01	7.361268383529669113e-02	4.384940638399796283e-04	8.404382067718985491e+05
5.500000000000000000e+01	7.976505738849923310e-02	4.121219827875155332e-04	5.798172158161649713e+05
5.600000000000000000e+01	8.706107079929795156e-02	3.875178118609234152e-04	4.216139848631051136e+05
5.700000000000000000e+01	9.510642025071779082e-02	3.647848854302708195e-04	3.192355261460294714e+05
5.800000000000000000e+01	1.036653806734110783e-01	3.441856406690081867e-04	2.495384350411239720e+05
5.900000000000000000e+01	1.125889372352622403e-01	3.260924077271988943e-04	2.001119823184478155e+05
6.000000000000000000e+01	1.217782838088323494e-01	3.109202048992822857e-04	1.638701457195835246e+05
6.100000000000000000e+01	1.311654086988593981e-01	2.990548172413768800e-04	1.365492249815511750e+05
6.200000000000000000e+01	1.407021154514700723e-01	2.907496671011186801e-04	1.154677470612221223e+05
6.300000000000000000e+01	1.503534461677097367e-01	2.860729787012315025e-04	9.887477847926654795e+04
6.400000000000000000e+01	1.600935479652025040e-01	2.848674762023779947e-04	8.558963293223785877e+04
6.500000000000000000e+01	1.699029736845284744e-01	2.867716289941836245e-04	7.479371806349034887e+04
6.600000000000000000e+01	1.797668657079750654e-01	2.912817345441605279e-04	6.590557921749903471e+04
6.700000000000000000e+01	1.896737051304870358e-01	2.978318737610330109e-04	5.850332689503052825e+04
6.800000000000000000e+01	1.996144343139956978e-01	3.058659138710425880e-04	5.227503528224882757e+04
6.900000000000000000e+01	2.095818322023858538e-01	3.148867043682222300e-04	4.698618443842049601e+04
7.000000000000000000e+01	2.195700641152484034e-01	3.244803978180798394e-04	4.245778499664132687e+04
7.100000000000000000e+01	2.295743538644277326e-01	3.343215282733003209e-04	3.855136963678972825e+04
7.300000000000000000e+01	2.496159105491014829e-01	3.538387752115201216e-04	3.219330368649660886e+04
7.400000000000000000e+01	2.596470422597526029e-01	3.632206786523696886e-04	2.958708533190621165e+04
7.500000000000000000e+01	2.696817267450806743e-01	3.721860032152084718e-04	2.728437585103674792e+04
7.700000000000000000e+01	2.897536870681061139e-01	3.850333844362583921e-04	2.341691472380598861e+04
7.800000000000000000e+01	2.997875544506600765e-01	3.655847516096063284e-04	2.178444993723946754e+04
7.900000000000000000e+01	3.098180761655451310e-01	3.464416887075726461e-04	2.031712707933583806e+04
8.100000000000000000e+01	3.298642274347193815e-01	3.094782540915519647e-04	1.779597944945471318e+04
