Frequency [Hz]	d axis	q axis
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (4.381467686894709446e-01+4.995014265138097292e-02j)	 (5.618532313105291109e-01-4.995014265138097292e-02j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (4.350935764916440962e-01+5.199868034626771440e-02j)	 (5.649064235083559593e-01-5.199868034626771440e-02j)
 (9.850000000000000000e+01+0.000000000000000000e+00j)	 (4.305936438492108942e-01+5.505218475429549119e-02j)	 (5.694063561507891613e-01-5.505218475429547731e-02j)
 (9.950000000000000000e+01+0.000000000000000000e+00j)	 (4.276501577838874302e-01+5.707380856932407071e-02j)	 (5.723498422161125143e-01-5.707380856932407764e-02j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (4.261939475980804914e-01+5.808193543248843516e-02j)	 (5.738060524019195086e-01-5.808193543248844209e-02j)
 (1.015000000000000000e+02+0.000000000000000000e+00j)	 (4.218657726452180179e-01+6.108634760465476293e-02j)	 (5.781342273547820376e-01-6.108634760465475599e-02j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (4.176084166416852983e-01+6.407048899131984054e-02j)	 (5.823915833583147572e-01-6.407048899131982667e-02j)
 (1.035000000000000000e+02+0.000000000000000000e+00j)	 (4.162010951122685487e-01+6.505669173445313702e-02j)	 (5.837989048877314513e-01-6.505669173445313702e-02j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (4.120142310488640880e-01+6.800246073290105997e-02j)	 (5.879857689511358565e-01-6.800246073290105997e-02j)
 (1.065000000000000000e+02+0.000000000000000000e+00j)	 (4.078644808124592402e-01+7.092603087379982518e-02j)	 (5.921355191875407042e-01-7.092603087379982518e-02j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (4.064825774530432256e-01+7.189304634357041035e-02j)	 (5.935174225469568299e-01-7.189304634357039647e-02j)
 (1.085000000000000000e+02+0.000000000000000000e+00j)	 (4.023687236606840467e-01+7.477833604648898014e-02j)	 (5.976312763393158978e-01-7.477833604648896626e-02j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (3.982673135938981090e-01+7.763827322320994428e-02j)	 (6.017326864061018910e-01-7.763827322320993041e-02j)
 (1.105000000000000000e+02+0.000000000000000000e+00j)	 (3.969038376977273574e-01+7.858595480513688725e-02j)	 (6.030961623022725870e-01-7.858595480513692888e-02j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (3.928021637537348898e-01+8.140149588438702621e-02j)	 (6.071978362462651102e-01-8.140149588438701234e-02j)
 (1.135000000000000000e+02+0.000000000000000000e+00j)	 (3.886926274728034203e-01+8.419255890479547533e-02j)	 (6.113073725271966907e-01-8.419255890479546145e-02j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (3.873177607946403089e-01+8.511817376232236332e-02j)	 (6.126822392053596911e-01-8.511817376232236332e-02j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (3.817816000270301546e-01+8.877424286634791328e-02j)	 (6.182183999729697899e-01-8.877424286634791328e-02j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)	 (3.789820292681487790e-01+9.057943200216726776e-02j)	 (6.210179707318513875e-01-9.057943200216728163e-02j)
 (1.175000000000000000e+02+0.000000000000000000e+00j)	 (3.775810373918067064e-01+9.146850085093324867e-02j)	 (6.224189626081932936e-01-9.146850085093324867e-02j)
 (1.195000000000000000e+02+0.000000000000000000e+00j)	 (3.719043502596334760e-01+9.502887122948656951e-02j)	 (6.280956497403664684e-01-9.502887122948658338e-02j)
 (1.205000000000000000e+02+0.000000000000000000e+00j)	 (3.690236018386095496e-01+9.677658082334832101e-02j)	 (6.309763981613905059e-01-9.677658082334830714e-02j)
 (1.215000000000000000e+02+0.000000000000000000e+00j)	 (3.661038982568071698e-01+9.850765925335309980e-02j)	 (6.338961017431928857e-01-9.850765925335308593e-02j)
