Frequency [Hz]	d axis	q axis
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (6.025258214945897635e+02+7.692099160229979589e+02j)	 (2.393175290908827080e+01-1.406766848005159716e+02j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (6.269860005957666544e+02+7.599447900338847148e+02j)	 (2.351439119898592622e+01-1.282732088541714859e+02j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (6.506130223643145882e+02+7.490773051794984667e+02j)	 (2.316041061652222410e+01-1.162861822234951603e+02j)
 (7.250000000000000000e+01+0.000000000000000000e+00j)	 (6.621707508663762383e+02+7.430331116200026145e+02j)	 (2.300815883424002450e+01-1.104362607631071569e+02j)
 (7.350000000000000000e+01+0.000000000000000000e+00j)	 (6.843804592789758772e+02+7.299772287772826758e+02j)	 (2.275205134156903242e+01-9.899252629938879977e+01j)
 (7.450000000000000000e+01+0.000000000000000000e+00j)	 (7.054811879021397090e+02+7.155176184186242381e+02j)	 (2.256027443254954079e+01-8.786421563563669679e+01j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (7.349254837757775931e+02+6.915335095152793201e+02j)	 (2.239758951832786593e+01-7.169143585786558504e+01j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (7.441030365668749482e+02+6.829277836074666084e+02j)	 (2.237646096992740397e+01-6.642503919012131064e+01j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (7.528824320911450059e+02+6.741274987947562067e+02j)	 (2.237232457613997738e+01-6.121461473545831922e+01j)
 (7.850000000000000000e+01+0.000000000000000000e+00j)	 (7.770088906702782197e+02+6.464622918586073865e+02j)	 (2.246299594784097309e+01-4.589410432583239441e+01j)
 (7.950000000000000000e+01+0.000000000000000000e+00j)	 (7.913032525647796547e+02+6.270211804784395326e+02j)	 (2.261192517385148903e+01-3.591305493187559250e+01j)
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (8.040091046155818049e+02+6.071007757120427186e+02j)	 (2.283339966975447410e+01-2.609563078588724139e+01j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (8.097595957273646263e+02+5.970446690462923698e+02j)	 (2.297200560302355044e+01-2.124299082237433112e+01j)
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (8.247849644223821315e+02+5.663319910217963979e+02j)	 (2.350325483548378713e+01-6.886440688925307363e+00j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (8.329700801278243034e+02+5.456026598924788686e+02j)	 (2.395676274671474815e+01+2.534165378538947522e+00j)
 (8.450000000000000000e+01+0.000000000000000000e+00j)	 (8.396077817543136916e+02+5.249061330682602602e+02j)	 (2.449305651973622489e+01+1.184892895199462082e+01j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (8.423907804574015472e+02+5.146033095265976272e+02j)	 (2.479319777627310017e+01+1.647013987552658421e+01j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (8.487202773373284117e+02+4.840363218563820169e+02j)	 (2.582650691899827677e+01+3.020415969167619252e+01j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (8.521571482590148889e+02+4.541799168740830055e+02j)	 (2.706836339898772081e+01+4.376721012888390305e+01j)
 (8.850000000000000000e+01+0.000000000000000000e+00j)	 (8.527064615145897051e+02+4.444897762074857042e+02j)	 (2.753103912734029990e+01+4.825486584840867010e+01j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (8.529273538673739949e+02+4.254220303925558824e+02j)	 (2.853196427040046501e+01+5.718559733394017286e+01j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (8.513589505529529333e+02+3.979175835596072943e+02j)	 (3.023140612390798765e+01+7.048038942864991441e+01j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (8.491237804064634247e+02+3.803112901621661308e+02j)	 (3.150213250884995375e+01+7.928420593313765607e+01j)
 (9.250000000000000000e+01+0.000000000000000000e+00j)	 (8.476868489906109971e+02+3.717612648298771205e+02j)	 (3.218083924248004024e+01+8.366972689509593408e+01j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (8.421945706156813003e+02+3.471442344495039833e+02j)	 (3.439638088122398329e+01+9.676695185217012352e+01j)
 (9.550000000000000000e+01+0.000000000000000000e+00j)	 (8.351696870923838105e+02+3.241362552787911682e+02j)	 (3.689487938085752461e+01+1.097823787858360731e+02j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (8.325181050980022519e+02+3.168598974807434274e+02j)	 (3.779376351801801803e+01+1.141046484809763513e+02j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (8.268364252139450628e+02+3.027638921283337936e+02j)	 (3.969328463294649367e+01+1.227230443378929294e+02j)
 (9.850000000000000000e+01+0.000000000000000000e+00j)	 (8.174705544088058105e+02+2.830641573047919337e+02j)	 (4.281140637755464695e+01+1.355919489043459976e+02j)
