f	lambda_1	lambda_2
 (7.000000000000000000e+01+0.000000000000000000e+00j)	 (-1.061763882165978057e-02+2.427274678096322247e-02j)	 (-6.208578023821215153e-01+3.587148033382577261e-01j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.662424941599585648e-02+2.711918218111852852e-02j)	 (-6.284033380396589763e-01+3.697501878224094818e-01j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)	 (-2.252813195959363357e-02+3.003228159774395944e-02j)	 (-6.357059546888896850e-01+3.809819912686209231e-01j)
 (7.250000000000000000e+01+0.000000000000000000e+00j)	 (-2.544515283999834732e-02+3.151135147498519695e-02j)	 (-6.393232016637546700e-01+3.867061614625693644e-01j)
 (7.350000000000000000e+01+0.000000000000000000e+00j)	 (-3.122558153974688833e-02+3.453268607031122206e-02j)	 (-6.463521910228295919e-01+3.982174613752414993e-01j)
 (7.450000000000000000e+01+0.000000000000000000e+00j)	 (-3.694665050064446787e-02+3.762875254151172577e-02j)	 (-6.532027006482478138e-01+4.099516175664137396e-01j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)	 (-4.542715359955901144e-02+4.242349436742261226e-02j)	 (-6.632366601530839123e-01+4.279446727909911319e-01j)
 (7.650000000000000000e+01+0.000000000000000000e+00j)	 (-4.823419501396708498e-02+4.405808174962459745e-02j)	 (-6.665183536782741669e-01+4.340764870199309566e-01j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)	 (-5.103407416119237761e-02+4.572023986351997360e-02j)	 (-6.697378425217105358e-01+4.402321412666350131e-01j)
 (7.850000000000000000e+01+0.000000000000000000e+00j)	 (-5.939690044317649797e-02+5.083994334434373263e-02j)	 (-6.791512343631197490e-01+4.589887543643630385e-01j)
 (7.950000000000000000e+01+0.000000000000000000e+00j)	 (-6.493588041346579076e-02+5.435930205702098339e-02j)	 (-6.852972675198769625e-01+4.718115665718768947e-01j)
